name,min_frames,max_frames,mean_frames,median_frames,threshold_frames,min_lips,max_lips,mean_lips,median_lips,threshold_lips
R_106_251,0.23956597222222223,57.75113715277778,2.553999376085069,1.1144563802083334,11.41183451944871,2.0,1115.0,256.36842105263156,111.5,555.0897681527282
R_104_306,0.8512109375,14.052936197916667,4.075435353973765,4.0947450086805555,6.08159821561013,0.0,1833.0,107.26086956521739,18.0,476.09407298794326
R_103_255,0.17366536458333334,38.24539713541667,1.723103479456018,0.6265494791666667,7.565512038866451,0.0,481.0,31.506666666666668,10.0,106.19274271538916
R_10_66,0.3736111111111111,63.52881727430555,2.172646947337962,0.9226812065972222,9.38881570694063,16.0,457.0,159.0909090909091,69.0,317.1331672749177
R_105_164,0.0452734375,14.695120442708333,0.6793841443352372,0.5675965711805555,1.9919835077107462,0.0,471.0,25.50413223140496,7.0,88.86471960645572
R_106_376,0.07882595486111112,23.463610026041668,0.6060944331918724,0.2755891927083333,3.1684118071782255,1.0,362.0,29.790123456790123,12.0,83.4658107707569
R_108_8,0.036456163194444446,143.07564670138888,6.7371216534173985,0.6705284288194444,30.828536204982292,0.0,152.0,17.307692307692307,9.0,43.8290468832171
R_101_179,0.18789496527777777,30.68805013020833,1.7711517643439858,1.4075238715277778,5.477512645096831,0.0,3745.0,244.93069306930693,29.0,793.3846363223541
R_107_303,1.072902560763889,27.03388671875,2.714953309623756,1.958166232638889,5.844142430408654,0.0,32.0,11.6,8.0,21.245724441429996
R_105_37,0.019404296875,51.05890516493056,1.8183618164062503,0.7503130425347222,7.882743910799023,0.0,586.0,28.48148148148148,8.5,106.36773299985275
R_105_368,0.014345703125,8.082239583333333,2.0226834972993832,1.5147699652777777,4.108366188038637,4.0,12.0,8.333333333333334,9.0,11.633164978870555
R_105_101,0.02890625,18.397824435763887,1.1413332832532057,0.9808420138888889,2.7900190034884274,0.0,3118.0,350.4778761061947,123.0,888.6173799680912
